host;public_ip;status;attempts;city;region;country;location;organization;postal;timezone;latency (ms);date
dailymotion.com;195.8.215.136;OK;1;Paris;Île-de-France;FR;48.8534,2.3488;AS41690 Dailymotion S.A.;75000;Europe/Paris;22.6;20-03-2023 15:05:43
db.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:43
dbonline.deutsche-bank.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:43
deezer.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:43
icio.us;N/A;KO;3;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:44
deliveroo.es;104.18.27.160;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.60;20-03-2023 15:05:44
delivery.karmabu.cdn.orange.com;90.84.143.153;OK;3;Paris;Île-de-France;FR;48.8534,2.3488;AS5511 Orange S.A.;75000;Europe/Paris;10.4;20-03-2023 15:05:45
deloitte.com;170.194.156.208;OK;2;Washington;Washington, D.C.;US;38.8951,-77.0364;AS26342 Deloitte Touche Tohmatsu Services, Inc.;20004;America/New_York;111;20-03-2023 15:05:46
deviantart.com;108.157.98.127;OK;1;Madrid;Madrid;ES;40.4165,-3.7026;AS16509 Amazon.com, Inc.;28001;Europe/Madrid;2.53;20-03-2023 15:05:46
diasp.org;170.39.215.215;OK;1;Bend;Oregon;US;44.0582,-121.3153;AS397423 Tier.Net Technologies LLC;97708;America/Los_Angeles;146;20-03-2023 15:05:47
disneyplus.com;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:47
divinity.es;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:47
divxtotal.com;104.21.45.235;OK;1;San Francisco;California;US;37.7621,-122.3971;AS13335 Cloudflare, Inc.;94107;America/Los_Angeles;3.02;20-03-2023 15:05:47
divxtotal3.net;N/A;N/A;0;N/A;N/A;N/A;0.0,0.0;N/A;0;N/A;0.0;20-03-2023 15:05:48
