host;public_ip;status;attempts;city;region;country;source_point;destination;ASN;ISP;postal;timezone;latency (ms);date
cherryroad.com;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:06
disneyplus.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:06
divinity.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:06
icio.us;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:06
delivery.karmabu.cdn.orange.com;90.84.143.145;OK;2;Paris;Île-de-France;FR;40.4353,-3.6495;48.8534,2.3488;AS5511;Orange S.A.;75000;Europe/Paris;2.40;09-05-2023 15:47:06
divxtotal3.net;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0,0.0;N/A;N/A;N/A;N/A;0.0;09-05-2023 15:47:06
dl.cube.lodz.karma.orange.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:06
deviantart.com;108.157.98.69;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS16509;Amazon.com, Inc.;28001;Europe/Madrid;3.55;09-05-2023 15:47:06
divxtotal.com;172.67.220.18;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.31;09-05-2023 15:47:06
diasp.org;N/A;KO;3;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:06
dixmax.com;188.114.97.5;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.19;09-05-2023 15:47:06
deloitte.com;170.194.156.208;OK;3;Washington;Washington, D.C.;US;40.4353,-3.6495;38.8951,-77.0364;AS26342;Deloitte Touche Tohmatsu Services, Inc.;20004;America/New_York;109;09-05-2023 15:47:06
dominospizza.es;194.224.110.10;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS3352;TELEFONICA DE ESPANA S.A.U.;28001;Europe/Madrid;4.33;09-05-2023 15:47:06
part-0015.t-0009.fdv2-t-msedge.net;13.107.237.43;OK;1;Redmond;Washington;US;40.4353,-3.6495;47.6740,-122.1215;AS8075;Microsoft Corporation;98052;America/Los_Angeles;3.18;09-05-2023 15:47:07
doubleclick.net;142.250.201.78;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;4.02;09-05-2023 15:47:07
doubleclick.com;142.250.200.110;OK;1;Madrid;Madrid;ES;40.4353,-3.6495;40.4165,-3.7026;AS15169;Google LLC;28001;Europe/Madrid;3.91;09-05-2023 15:47:07
ebay.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:07
ebay.es;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:07
ebnbanco.com;N/A;N/A;0;N/A;N/A;N/A;40.4353,-3.6495;0.0, 0.0;N/A;N/A;0;N/A;0.0;09-05-2023 15:47:07
dropbox.com;162.125.248.18;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS19679;Dropbox, Inc.;94107;America/Los_Angeles;3.31;09-05-2023 15:47:07
dribbble.com;192.229.220.206;OK;1;Frankfurt am Main;Hesse;DE;40.4353,-3.6495;50.1155,8.6842;AS15133;Edgecast Inc.;60306;Europe/Berlin;3.36;09-05-2023 15:47:07
dwolla.com;104.16.75.153;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.95;09-05-2023 15:47:07
edarling.es;104.18.30.109;OK;1;San Francisco;California;US;40.4353,-3.6495;37.7621,-122.3971;AS13335;Cloudflare, Inc.;94107;America/Los_Angeles;3.21;09-05-2023 15:47:07
ehu.eus;158.227.0.65;OK;1;Donostia / San Sebastián;Basque Country;ES;40.4353,-3.6495;43.3108,-2.0057;AS15488;Universidad del Pais Vasco - Euskal Herriko Unibertsitatea;20008;Europe/Madrid;19.5;09-05-2023 15:47:07
